exposure,sample,brightness,contrast,sharpness,proxy
20000,1,40.56549024581909,3.2420814127774995,6.814984339288354,0.8760450253448133
20000,2,40.489161252975464,3.239766267382936,6.810080629594863,0.8762598503347716
20000,3,40.69122862815857,3.2399905586319986,6.814611025733029,0.8757185593220328
20000,4,40.47168231010437,3.2416691238569286,6.815287510029417,0.8762967966536414
20000,5,40.44508385658264,3.2244536184698487,6.83291137580171,0.8764335825135546
20000,6,40.54499268531799,3.2287594350105926,6.8258008764704625,0.876151588234451
20000,7,40.65580081939697,3.232829287712413,6.82418446862665,0.8758396809599308
20000,8,40.653247356414795,3.222831501571588,6.83035173644465,0.8758860918808641
20000,9,40.6779625415802,3.2316095295317515,6.80779837748892,0.8757911273902409
20000,10,40.63076329231262,3.2268827130358586,6.802676226448652,0.8759383945073674
30000,1,44.14203977584839,4.426980098956753,6.8209002183608884,0.8615685101126308
30000,2,44.172839403152466,4.437669902026838,6.796054047634243,0.8614501189839369
30000,3,44.23376202583313,4.4049415696512995,6.772525795259649,0.8614318694591447
30000,4,44.156331062316895,4.446075152053421,6.8038804385622695,0.8614565105540782
30000,5,44.197701930999756,4.424990448412625,6.785409633470094,0.861440198104458
30000,6,44.27410936355591,4.414917584881746,6.773172704802759,0.8612824941919094
30000,7,44.19894528388977,4.428744791200316,6.788294899426442,0.8614202776464838
30000,8,44.08553147315979,4.4440022235134045,6.82592932494299,0.8616465970319538
30000,9,44.17464637756348,4.438563153299322,6.7909136843008,0.86144329195965
30000,10,44.06741547584534,4.437835641246492,6.815501740616128,0.8617240763123467
40000,1,47.373554944992065,5.538217627899824,6.856715380226573,0.848309041570363
40000,2,47.30799984931946,5.5639523299950095,6.842874557923446,0.8483812408408611
40000,3,47.20911145210266,5.566498897489285,6.84014558624372,0.848635242192773
40000,4,47.24794363975525,5.554187988568073,6.86181419193022,0.8485757622776423
40000,5,47.11446785926819,5.581270490241012,6.852416246393659,0.848821986583816
40000,6,47.215354681015015,5.55494058592605,6.850485222628672,0.8486633066683918
40000,7,47.212533712387085,5.5640502196872195,6.853691092169251,0.8486318038208813
40000,8,47.26274752616882,5.566737798685988,6.8474241943353125,0.8484887910375798
40000,9,47.3015878200531,5.57669538851969,6.849879481500151,0.8483429085338596
40000,10,47.27147436141968,5.574472782289469,6.858233021674096,0.8484296874361167
