step,exposure,before_proxy,after_proxy,reward,brightness_before,contrast_before,sharpness_before,brightness_after,contrast_after,sharpness_after
1,20000,0.8479373011281782,0.8476798498195286,0.002574513086496255,47.524778842926025,5.528457512887581,6.884146960962321,47.5922634601593,5.545938026786424,6.898117525309667
2,20000,0.8756027580349255,0.8754411008161089,0.001616572188165577,40.75007939338684,3.22789721921735,6.842375507911934,40.79677700996399,3.2382953120195057,6.823790071717353
3,20000,0.8758772948395834,0.8756466942092215,0.0023060063036195455,40.64683246612549,3.2288657830321537,6.832633464343767,40.719388246536255,3.237830379519368,6.831931656053397
4,20000,0.8756538895002477,0.8758532642184113,-0.0019937471816355856,40.71872329711914,3.2356116468154865,6.843399537110285,40.62946653366089,3.245804603229221,6.831917535113813
5,20000,0.8755943048419664,0.875761400291443,-0.0016709544947657307,40.7665753364563,3.2206468881247114,6.826396680891461,40.68026828765869,3.2340223755090904,6.848373130537766
6,20000,0.8755307236173839,0.8756447693817024,-0.0011404576431850444,40.78929662704468,3.2212863318236384,6.827376983695103,40.759706258773804,3.2118758841611474,6.839593232687899
7,30000,0.875316971572625,0.8761206252563877,-0.008036536837626729,40.86093282699585,3.2254468086640093,6.843537557858222,40.55603075027466,3.2272975061696925,6.848659401518489
8,30000,0.8606831863233039,0.8609900305579807,-0.0030684423467686184,44.54008102416992,4.392011210463347,6.729652705937042,44.41276478767395,4.396610657688341,6.770156803561804
9,40000,0.8607157532210791,0.861175658810385,-0.004599055893059756,44.51226210594177,4.402326889415524,6.7255573715346015,44.30993843078613,4.415650950623524,6.797879239761642
10,30000,0.847195275377244,0.8477286109939739,-0.005333356167298575,47.80722188949585,5.52492531003543,6.894832376858071,47.59782814979553,5.5317665560572715,6.884459868998315
11,20000,0.860616980700645,0.8608737780939885,-0.002567973933434997,44.52680253982544,4.416452025376252,6.728987262258357,44.44566583633423,4.40482630814021,6.75301017560822
12,40000,0.8756287819152905,0.8751970498472661,0.004317320680243819,40.760695457458496,3.215394806543108,6.835655512671705,40.91043519973755,3.222495331712858,6.844177213890712
13,20000,0.8477646824538834,0.8477678251194144,-3.142665531030708e-05,47.56837320327759,5.541174053166261,6.8942913475508725,47.569891929626465,5.540906189209644,6.8760618396244215
14,20000,0.8755887141620299,0.8754076085986185,0.0018110556341133233,40.76397728919983,3.2233241673430273,6.830487108523812,40.85193967819214,3.2107540573680673,6.8272310615062946
15,40000,0.8757654254726231,0.8752971764234599,0.004682490491632052,40.69415497779846,3.2248448144038466,6.839923579694782,40.86835980415344,3.2255563460831036,6.842137970353772
16,20000,0.847461463192945,0.8477417418944284,-0.0028027870148339407,47.68249583244324,5.54122271129682,6.89035987040884,47.570199489593506,5.5448334410971905,6.90276038625178
17,40000,0.8756353851640092,0.8759219958375164,-0.002866106735072149,40.714197874069214,3.243130843978634,6.841125965685933,40.63801097869873,3.224344408869179,6.8256195469963625
18,30000,0.8475934640700025,0.8479266295734833,-0.0033316550348083673,47.61920738220215,5.549281783125147,6.89992644331131,47.518065452575684,5.534890763199098,6.88945311895591
19,20000,0.8609764627522128,0.8609289562556766,0.00047506496536287024,44.38342046737671,4.418979090263155,6.766009376058404,44.39306688308716,4.423974322067435,6.768917142430278
20,20000,0.8759062185760085,0.8753151588033363,0.005910597726721534,40.64626979827881,3.2211855767260085,6.8463661766691075,40.887585401535034,3.2091639984960167,6.839290396510478
21,20000,0.8752227443981944,0.8756104253790478,-0.0038768098085339986,40.91532039642334,3.2134750317365244,6.840765737323636,40.75048112869263,3.226146755417018,6.838040390602741
22,40000,0.875805469114298,0.8759187263544075,-0.0011325724010946558,40.65305709838867,3.242052419791332,6.833480622604839,40.605711936950684,3.244535789631674,6.841428070776285
23,30000,0.847786405828758,0.8478183993165178,-0.00031993487759840455,47.54492998123169,5.550881004538563,6.895330107140476,47.530131816864014,5.552813676785789,6.893576555712254
24,20000,0.8609532770833175,0.8608346193663501,0.0011865771696739635,44.39475774765015,4.417633615302991,6.761686577558872,44.40607786178589,4.440075154009847,6.746579581539559
25,40000,0.8761347569582577,0.8759493918556948,0.0018536510256295102,40.55095648765564,3.2282950794199263,6.834388731232734,40.61198091506958,3.233647456504356,6.835383906054631
26,40000,0.8479777787277909,0.8478054814403247,0.0017229728746614992,47.441593170166016,5.570763348549217,6.899376598434069,47.550827503204346,5.541977695807667,6.9022144557951695
27,20000,0.8477389014096541,0.8479204773991753,-0.001815759895211766,47.55060291290283,5.5598469490520515,6.880385604664298,47.5061297416687,5.544485956438703,6.883455413640743
28,40000,0.8759277874992293,0.8759350152938401,-7.227794610820126e-05,40.60903882980347,3.2413439271773026,6.827527774168315,40.614731788635254,3.2346120837268404,6.844448762812031
29,40000,0.8480791776689209,0.8475031105461632,0.005760671227577063,47.427775144577026,5.555844658995243,6.892207599180333,47.624390602111816,5.56751307017843,6.901630167385415
30,40000,0.8480460765104697,0.8477705570348835,0.002755194755862389,47.4406156539917,5.557350449307307,6.869964620315841,47.5862238407135,5.528758360326415,6.88905866556129
31,40000,0.8479284024151862,0.8477867818111006,0.0014162060408562382,47.48127579689026,5.556161794717819,6.91256394534653,47.550938844680786,5.547973110689614,6.882479925631742
32,40000,0.8481034998478442,0.8480345632846445,0.000689365631996175,47.42362332344055,5.554024163638914,6.875211823456677,47.46112084388733,5.544803284876985,6.897302334005312
33,40000,0.8479770226444355,0.8479282795914673,0.0004874305296820314,47.432251930236816,5.577478344179021,6.892437322561259,47.524431228637695,5.528890903719263,6.908575100005692
34,30000,0.8477280351138434,0.8475166015353107,0.0021143357853270484,47.56017732620239,5.555231877785229,6.894077576535333,47.67861795425415,5.5304302612092044,6.890873494919699
35,40000,0.8608228646433275,0.8610765057044949,-0.0025364106116743113,44.43923807144165,4.421083752352939,6.7539545940725345,44.359007596969604,4.408384253383431,6.79361894346553
36,40000,0.8478251374789268,0.8476251224510107,0.002000150279161117,47.53277397155762,5.550059707397195,6.8866494482936105,47.611380100250244,5.54627341539991,6.90517415246712
37,40000,0.8479727350354495,0.848157599542029,-0.0018486450657950737,47.491806507110596,5.540830438668792,6.8869623534068385,47.417747020721436,5.5432269759387065,6.894888008907994
38,40000,0.8480464911571161,0.8481784428246136,-0.0013195166749757625,47.440834283828735,5.555317806639858,6.892379675023815,47.389957666397095,5.556804481080408,6.884954181477042
39,40000,0.8475059158323583,0.8477603957458189,-0.002544799134605036,47.66991209983826,5.539529712018093,6.878834303992685,47.52452063560486,5.570681355128079,6.889130738603537
40,40000,0.8477399770043138,0.8479003554128093,-0.0016037840849547624,47.56757378578186,5.54826062370403,6.8862209045034,47.468575954437256,5.571502178595542,6.906548893629756
41,40000,0.8475967099893194,0.847779863973522,-0.0018315398420265527,47.61556315422058,5.55145598314378,6.892165008979996,47.55599784851074,5.5455294773977855,6.893306823875719
42,40000,0.8479837242558288,0.8480715002154497,-0.0008777595962095042,47.48608875274658,5.54123872705776,6.894633122319087,47.40729308128357,5.5701053735822645,6.900837533603758
43,40000,0.8474785870049925,0.8479186103735676,-0.00440023368575182,47.65839672088623,5.552253434945352,6.893897281115992,47.506651639938354,5.5439695335430015,6.89133659050276
44,40000,0.8479737482702282,0.8476940200987951,0.0027972817143306905,47.47493290901184,5.550772583755262,6.894634620280053,47.54792332649231,5.571872940357416,6.886141337208439
45,40000,0.8480014271954468,0.8478633452452036,0.0013808195024322956,47.5005304813385,5.527387721442645,6.899128044918736,47.52232623100281,5.546667848501434,6.898006310098831
46,40000,0.8480072750019518,0.8475303977506048,0.0047687725134704095,47.46143817901611,5.550860131496024,6.900917918315267,47.62855386734009,5.558335160075627,6.90118630851965
47,40000,0.8477781803023656,0.8477590077197746,0.00019172582590987197,47.54559850692749,5.552120707050081,6.89916219935699,47.582964181900024,5.532431575907037,6.903868686637802
48,30000,0.8481214220235537,0.8478295082943208,0.002919137292328733,47.37688851356506,5.57722930322873,6.905259530459261,47.526118755340576,5.551231429169506,6.912132209694075
49,30000,0.8611741843533878,0.8612769233750289,-0.0010273902164115167,44.29070520401001,4.428367980679433,6.797205549263708,44.236674070358276,4.436476809077645,6.819877198576601
50,30000,0.8611984428691105,0.8613429926728008,-0.0014454980369027481,44.23942756652832,4.453858410214439,6.8160207327613405,44.24522352218628,4.4156661722984385,6.813406650376832
51,20000,0.8610811106307422,0.8611961564824884,-0.001150458517461539,44.34413194656372,4.417923257072311,6.779571821859814,44.28697729110718,4.425176837965573,6.80100174910775
52,40000,0.8755478284719933,0.8762520533682836,-0.007042248962902953,40.772753953933716,3.2275061137224688,6.8306565310194856,40.49266862869263,3.23720786055512,6.837392608669374
53,40000,0.8484121345584936,0.8478224718583405,0.005896627001531485,47.28599810600281,5.567504180328744,6.881809222387242,47.57162284851074,5.526127397361603,6.883009169872716
54,40000,0.8476517865355825,0.8479056857695275,-0.002538992339450319,47.63101887702942,5.52890703834802,6.885151397666855,47.508302450180054,5.546565278419852,6.884457109728723
55,40000,0.8479602082450808,0.848221349102312,-0.0026114085723116798,47.48771953582764,5.547052073440242,6.879468060133499,47.35090136528015,5.57097320987501,6.891576647385275
56,30000,0.847909896661167,0.8477933130711326,0.0011658359003441365,47.53405451774597,5.527759114712485,6.900884940625158,47.56178283691406,5.539114879855991,6.886862093089698
57,30000,0.8615725489239742,0.8609281730705763,0.006443758533978272,44.09496855735779,4.453281987671057,6.8565799233271285,44.44038367271423,4.394922264423329,6.755883101265577
58,30000,0.8611754662896709,0.8608269332152119,0.0034853307445903425,44.3016037940979,4.421916079154378,6.78681978877435,44.464237451553345,4.403607209091572,6.760210628292953
59,30000,0.8612732122825206,0.8609434563841709,0.003297558983497151,44.284268379211426,4.408564630231888,6.799158240848241,44.36885213851929,4.435008705544635,6.781204920025071
60,30000,0.8607653743333564,0.8610464038050095,-0.0028102947165309367,44.50990295410156,4.390996752192458,6.737193964712473,44.37578821182251,4.406921116309969,6.767968936516809
61,20000,0.8609863288107547,0.8609648336000756,0.0002149521067906779,44.3791937828064,4.418856442567158,6.771757773195428,44.40058422088623,4.41148686458187,6.757239625409966
62,20000,0.8757061624117837,0.8757944421463808,-0.0008827973459712979,40.702430725097656,3.2331195174159673,6.8480729961680975,40.708783864974976,3.2080789856920524,6.845415319906946
63,40000,0.8756672864684578,0.8758952374229986,-0.0022795095454075653,40.75213694572449,3.21022041821329,6.853289801164361,40.64127016067505,3.225589751195104,6.864254555664957
64,20000,0.8479890046333939,0.8474775274264081,0.005114772069857443,47.44316625595093,5.5684869690364405,6.881568939255569,47.666786193847656,5.546653343059869,6.89996138174582
65,20000,0.8757240509119197,0.8761389334216371,-0.004148825097173292,40.694910287857056,3.235282229129933,6.82753709726026,40.56154727935791,3.2206415967155837,6.832801541280787
66,40000,0.8760261388126728,0.8759603832716334,0.0006575554103938064,40.61014270782471,3.2152764235423157,6.849486605104981,40.62035512924194,3.2250585864396286,6.842776820668998
