step,exposure,before_proxy,after_proxy,reward,brightness_before,contrast_before,sharpness_before,brightness_after,contrast_after,sharpness_after,state_key,state_seen
1,40000,0.8762432612733781,0.876035713737052,0.0020754753632612477,40.54984736442566,3.205645213141818,6.800872100187602,40.63315415382385,3.200240864844942,6.824614747691508,"(40, 2, 5)",True
2,20000,0.8486057033687435,0.8484150035671074,0.0019069980163610722,47.24662494659424,5.549551008782898,6.840502711229314,47.33392071723938,5.539492598879916,6.839966074763652,"(45, 4, 5)",True
3,40000,0.8762441110822597,0.8757807322905604,0.004633787916993315,40.55673432350159,3.2003623937372243,6.809262243492763,40.69609999656677,3.2224756239524597,6.808057856378933,"(40, 2, 5)",True
4,20000,0.8482808493741159,0.8490791273599879,-0.007982779858720646,47.43435883522034,5.508749715515442,6.823209751946706,47.31206226348877,5.394355051671203,6.836681666236158,"(45, 4, 5)",True
5,40000,0.8768072963773572,0.8758597623778237,0.00947533999533512,40.934388160705566,2.825254717638749,6.787321611799494,40.68245553970337,3.211924362534769,6.81201401721742,"(40, 2, 5)",True
6,20000,0.8478241399623287,0.8478184365435878,5.703418740954369e-05,47.55809688568115,5.533684602778856,6.891747492828822,47.52882671356201,5.553667720528477,6.893230154134471,"(45, 4, 5)",True
7,40000,0.8754232149787967,0.8755036202580417,-0.0008040527924502161,40.86123466491699,3.201638271934339,6.819999345094753,40.76960730552673,3.2395877577789487,6.837433809423952,"(40, 2, 5)",True
8,20000,0.8478781210027102,0.8473815431097909,0.004965778929193476,47.510090827941895,5.551011016531429,6.897272661691204,47.7662935256958,5.505420495474775,6.907266271626108,"(45, 4, 5)",True
9,40000,0.8762362281267131,0.8762127205542671,0.00023507572445957692,40.504552364349365,3.2329864867082487,6.842565621212682,40.530548095703125,3.2214787567409306,6.848969112312157,"(40, 2, 5)",True
10,20000,0.8482255666934303,0.8474602119404626,0.007653547529676841,47.350342988967896,5.569631853217389,6.900157842748424,47.71725058555603,5.519147402141963,6.892016967389177,"(45, 4, 5)",True
11,40000,0.8760817492356295,0.8756463114866367,0.004354377489927952,40.560365200042725,3.234312568651735,6.842923584623033,40.705623149871826,3.2462776999338265,6.837609091942481,"(40, 2, 5)",True
12,20000,0.8480819550950959,0.847709748115281,0.0037220697981488193,47.43022632598877,5.555045256536556,6.874258400095325,47.590747356414795,5.540279272208996,6.8912859002263325,"(45, 4, 5)",True
13,40000,0.8761925321208659,0.8752402044489753,0.009523276718905738,40.54497504234314,3.2172222012556064,6.84732578296224,40.90595889091492,3.2165837713849115,6.824418383443117,"(40, 2, 5)",True
14,20000,0.8477974069668153,0.8478517188547562,-0.0005431188794091657,47.54616856575012,5.547041633963158,6.900410149013624,47.52687668800354,5.546407507263578,6.8997360909085295,"(45, 4, 5)",True
15,40000,0.8763148840320422,0.8760017145316608,0.00313169500381405,40.471599102020264,3.2342449964935165,6.854492631542494,40.585949659347534,3.236673661815208,6.848838357547161,"(40, 2, 5)",True
16,20000,0.8477770185500094,0.8480943788552359,-0.00317360305226444,47.5337073802948,5.559779723238689,6.902038767129747,47.43417024612427,5.548247857784007,6.890403242998113,"(45, 4, 5)",True
17,40000,0.8760627814127595,0.8757295618921124,0.0033321952064713223,40.56692695617676,3.2341070681651845,6.84990176024247,40.71921634674072,3.2174733912734017,6.839166158819704,"(40, 2, 5)",True
18,20000,0.8479151169992719,0.8478747064411332,0.00040410558138748165,47.47638440132141,5.563039578859667,6.905579055867188,47.46743083000183,5.579793619329414,6.889013794968273,"(45, 4, 5)",True
19,40000,0.8758409734115264,0.8755934510206168,0.00247522390909638,40.70748996734619,3.1993567081344274,6.825201174970971,40.78780961036682,3.2065248435879767,6.83560951036543,"(40, 2, 5)",True
20,20000,0.8481489430249421,0.8478588883080572,0.0029005471688492435,47.413830280303955,5.5486717724160926,6.884131527540726,47.5575156211853,5.52630353210482,6.884415955035715,"(45, 4, 5)",True
21,40000,0.8755631378084885,0.8757619128603623,-0.0019877505187382294,40.76943588256836,3.225070620911425,6.841716752594844,40.70493030548096,3.2182102011922837,6.8471914601617625,"(40, 2, 5)",True
22,20000,0.8479445447101108,0.8475533736163536,0.003911710937571922,47.48714852333069,5.549105070037591,6.90536430755219,47.64224338531494,5.54516342812712,6.887389216830343,"(45, 4, 5)",True
23,40000,0.876126224069956,0.8757596363823208,0.0036658768763520033,40.55946898460388,3.224931746939798,6.833929076553328,40.69779920578003,3.2255083202814387,6.819843203279561,"(40, 2, 5)",True
24,20000,0.8480239380358621,0.8477931198766748,0.0023081815918724047,47.45049500465393,5.55420681301581,6.896640692484652,47.54932761192322,5.545382927392944,6.908732882177796,"(45, 4, 5)",True
25,40000,0.8756558048817642,0.8755717177456142,0.0008408713615004615,40.72461819648743,3.2313160968336563,6.844188572387234,40.734962701797485,3.244872930510601,6.8442335173953195,"(40, 2, 5)",True
26,20000,0.8477792020597168,0.848119484775372,-0.0034028271565522683,47.5516083240509,5.547628148713839,6.90417536951918,47.41910123825073,5.5520755494798415,6.887791399380044,"(45, 4, 5)",True
27,40000,0.8755578841145961,0.8760442534804481,-0.0048636936585200186,40.78763008117676,3.2148623189110457,6.839528020409489,40.594478368759155,3.2211727528579592,6.8467531978580025,"(40, 2, 5)",True
28,20000,0.8475994309307072,0.8476070154739661,-7.584543258887244e-05,47.65981316566467,5.522429430878746,6.892833996576567,47.64352869987488,5.53099338113125,6.893306714961909,"(45, 4, 5)",True
29,40000,0.8754514243863918,0.875850490463,-0.003990660766082232,40.82511234283447,3.2161505973814672,6.842945630880422,40.63756442070007,3.2403606044872872,6.843505689308271,"(40, 2, 5)",True
30,20000,0.8477697042349206,0.8475941799220803,0.0017552431284029169,47.52629590034485,5.56672096291725,6.896508056013667,47.62532615661621,5.546178114272753,6.887624552420116,"(45, 4, 5)",True
